"feature","z","cell_type","cell"
"feature 5",-0.3757091192007224,"cell type 1","C37_p1d1"
"feature 13",-0.37536184324819266,"cell type 1","C37_p1d1"
"feature 12",-0.25660064114989006,"cell type 1","C37_p1d1"
"feature 9",-0.3576554952433767,"cell type 1","C37_p1d1"
"feature 14",-0.37555569778799514,"cell type 1","C37_p1d1"
"feature 8",1.359928543879783,"cell type 1","C37_p1d1"
"feature 11",-0.3570586999731203,"cell type 1","C37_p1d1"
"feature 1",1.3796948499602828,"cell type 1","C37_p1d1"
"feature 6",-0.5740092168195461,"cell type 3","C38_p1d1"
"feature 5",-0.3757091192007224,"cell type 3","C38_p1d1"
"feature 13",-0.37536184324819266,"cell type 3","C38_p1d1"
"feature 12",-0.25660064114989006,"cell type 3","C38_p1d1"
"feature 9",-0.3576554952433767,"cell type 3","C38_p1d1"
"feature 14",-0.37555569778799514,"cell type 3","C38_p1d1"
"feature 8",-0.7023805146082471,"cell type 3","C38_p1d1"
"feature 11",-0.3570586999731203,"cell type 3","C38_p1d1"
"feature 1",-0.7023366235904492,"cell type 3","C38_p1d1"
"feature 6",-0.5740092168195461,"cell type 1","C39_p1d1"
"feature 5",-0.3757091192007224,"cell type 1","C39_p1d1"
"feature 13",-0.37536184324819266,"cell type 1","C39_p1d1"
"feature 12",-0.25660064114989006,"cell type 1","C39_p1d1"
"feature 9",-0.3576554952433767,"cell type 1","C39_p1d1"
"feature 14",-0.37555569778799514,"cell type 1","C39_p1d1"
"feature 8",1.3540621661538894,"cell type 1","C39_p1d1"
"feature 11",-0.3570586999731203,"cell type 1","C39_p1d1"
"feature 1",1.372610146810013,"cell type 1","C39_p1d1"
"feature 6",-0.5740092168195461,"cell type 3","C4_p1d1"
"feature 5",-0.3757091192007224,"cell type 3","C4_p1d1"
"feature 13",-0.37536184324819266,"cell type 3","C4_p1d1"
"feature 12",-0.25660064114989006,"cell type 3","C4_p1d1"
"feature 9",-0.3576554952433767,"cell type 3","C4_p1d1"
"feature 14",-0.37555569778799514,"cell type 3","C4_p1d1"
"feature 8",-0.7023805146082471,"cell type 3","C4_p1d1"
"feature 11",-0.3570586999731203,"cell type 3","C4_p1d1"
"feature 1",-0.7023366235904492,"cell type 3","C4_p1d1"
"feature 6",-0.5740092168195461,"cell type 2","C40_p1d1"
"feature 5",2.570434790043275,"cell type 2","C40_p1d1"
"feature 13",2.5249143435701984,"cell type 2","C40_p1d1"
"feature 12",-0.25660064114989006,"cell type 2","C40_p1d1"
"feature 9",2.785298652566851,"cell type 2","C40_p1d1"
"feature 14",2.6821059492657926,"cell type 2","C40_p1d1"
"feature 8",-0.7023805146082471,"cell type 2","C40_p1d1"
"feature 11",2.5244700497641896,"cell type 2","C40_p1d1"
"feature 1",-0.7023366235904492,"cell type 2","C40_p1d1"
"feature 6",-0.5740092168195461,"cell type 1","C41_p1d1"
"feature 5",-0.3757091192007224,"cell type 1","C41_p1d1"
"feature 13",-0.37536184324819266,"cell type 1","C41_p1d1"
"feature 12",-0.25660064114989006,"cell type 1","C41_p1d1"
"feature 9",-0.3576554952433767,"cell type 1","C41_p1d1"
"feature 14",-0.37555569778799514,"cell type 1","C41_p1d1"
"feature 8",1.299432539113489,"cell type 1","C41_p1d1"
"feature 11",-0.3570586999731203,"cell type 1","C41_p1d1"
"feature 1",1.3409721028569432,"cell type 1","C41_p1d1"
"feature 6",-0.5740092168195461,"cell type 3","C42_p1d1"
"feature 5",-0.3757091192007224,"cell type 3","C42_p1d1"
"feature 13",-0.37536184324819266,"cell type 3","C42_p1d1"
"feature 12",-0.25660064114989006,"cell type 3","C42_p1d1"
"feature 9",-0.3576554952433767,"cell type 3","C42_p1d1"
"feature 14",-0.37555569778799514,"cell type 3","C42_p1d1"
"feature 8",-0.7023805146082471,"cell type 3","C42_p1d1"
"feature 11",-0.3570586999731203,"cell type 3","C42_p1d1"
"feature 1",-0.7023366235904492,"cell type 3","C42_p1d1"
"feature 6",1.7063301526676027,"cell type 1","C43_p1d1"
"feature 5",-0.3757091192007224,"cell type 1","C43_p1d1"
"feature 13",-0.37536184324819266,"cell type 1","C43_p1d1"
"feature 12",-0.25660064114989006,"cell type 1","C43_p1d1"
"feature 9",-0.3576554952433767,"cell type 1","C43_p1d1"
"feature 14",-0.37555569778799514,"cell type 1","C43_p1d1"
"feature 8",1.4713553133334463,"cell type 1","C43_p1d1"
"feature 11",-0.3570586999731203,"cell type 1","C43_p1d1"
"feature 1",1.5010018464255757,"cell type 1","C43_p1d1"
"feature 6",1.7288301006467295,"cell type 2","C44_p1d1"
"feature 5",2.68149707121701,"cell type 2","C44_p1d1"
"feature 13",2.4841115180949767,"cell type 2","C44_p1d1"
"feature 12",-0.25660064114989006,"cell type 2","C44_p1d1"
"feature 9",2.7139590888492897,"cell type 2","C44_p1d1"
"feature 14",2.7394041671752123,"cell type 2","C44_p1d1"
"feature 8",-0.7023805146082471,"cell type 2","C44_p1d1"
"feature 11",2.719383162345447,"cell type 2","C44_p1d1"
"feature 1",-0.7023366235904492,"cell type 2","C44_p1d1"
"feature 6",-0.5740092168195461,"cell type 3","C45_p1d1"
"feature 5",-0.3757091192007224,"cell type 3","C45_p1d1"
"feature 13",-0.37536184324819266,"cell type 3","C45_p1d1"
