"from","to","r","t","p.value","FDR","Type"
"CRO-03G019430","CRO-06G009840",-0.9345121306795434,-9.46652225777218,1.692988380454479e-7,2.6700524262432703e-5,"co-expressed"
"CRO-03G030600","CRO-06G009840",-0.8152336475207335,-5.075467639487095,1.0635344229457537e-4,0.004950753949400311,"co-expressed"
"CRO-03G030620","CRO-06G009840",-0.8458475941298987,-5.7172965740691115,3.542705349267449e-5,0.002129656704085045,"co-expressed"
"CRO-03G032340","CRO-06G009840",-0.9138703458730032,-8.115656425878772,9.551538349571686e-7,1.1395426527753735e-4,"co-expressed"
"CRO-04G013510","CRO-06G009840",-0.9091377195445538,-7.8702931210816205,1.336588876410006e-6,1.509084421486939e-4,"co-expressed"
"CRO-05G008760","CRO-06G009840",-0.9246634345757331,-8.755381086141254,4.1082734914012556e-7,5.6248686087985606e-5,"co-expressed"
"CRO-05G014340","CRO-06G009840",-0.8788489806435259,-6.641657201612144,8.04278594340567e-6,6.574084231200219e-4,"co-expressed"
"CRO-05G015990","CRO-06G009840",-0.8773949600188143,-6.593785665513766,8.659712216939474e-6,6.976386018264679e-4,"co-expressed"
"CRO-05G017150","CRO-06G009840",-0.9135270270233969,-8.097213326957078,9.793441976272268e-7,1.1634965992410089e-4,"co-expressed"
"CRO-05G023030","CRO-06G009840",-0.9157690441092193,-8.219590749264405,8.301965144339185e-7,1.0122893286479773e-4,"co-expressed"
"CRO-03G003560","CRO-06G009970",0.9797428965849228,17.63968113278374,9.204284862323068e-11,5.0810498776733735e-8,"co-expressed"
"CRO-03G003570","CRO-06G009970",0.9172677478853353,8.304031596342124,7.414903272448648e-7,9.217660866432244e-5,"co-expressed"
"CRO-03G003800","CRO-06G009970",0.9696705206015376,14.30429962136574,1.2383061381434589e-9,4.352308901037854e-7,"co-expressed"
"CRO-03G019430","CRO-06G009970",0.9516193582515696,11.166101549185749,2.4665528242949946e-8,5.325552138272635e-6,"co-expressed"
"CRO-03G030600","CRO-06G009970",0.8824734415609925,6.764580694653973,6.66195927017009e-6,5.652042279173217e-4,"co-expressed"
"CRO-03G030620","CRO-06G009970",0.9175409870826512,8.319663403517174,7.26204995277214e-7,9.060210376812117e-5,"co-expressed"
"CRO-03G032340","CRO-06G009970",0.9679083503732456,13.886968728111775,1.7799475879391273e-9,5.898411951634744e-7,"co-expressed"
"CRO-04G013510","CRO-06G009970",0.9643361630229851,13.136455243117178,3.504236953169459e-9,1.0369563171841081e-6,"co-expressed"
"CRO-05G008760","CRO-06G009970",0.9845885931748033,20.29878708526256,1.574938548555319e-11,1.1901328843736102e-8,"co-expressed"
"CRO-05G014340","CRO-06G009970",0.9364821277352022,9.627564842391665,1.394840728230292e-7,2.271832929773077e-5,"co-expressed"
"CRO-05G015990","CRO-06G009970",0.9262071353551108,8.857703115409123,3.604636220518741e-7,5.0374203286746055e-5,"co-expressed"
"CRO-05G017150","CRO-06G009970",0.9399754950908091,9.931750309360773,9.739653654089783e-8,1.6807515713872523e-5,"co-expressed"
"CRO-05G023030","CRO-06G009970",0.9528812023262949,11.325970423917434,2.0836198798206013e-8,4.624840395407793e-6,"co-expressed"
"CRO-02G001090","CRO-06G010180",0.9663856626528533,13.552690720928391,2.3970197517452555e-9,7.550587040981747e-7,"co-expressed"
"CRO-03G003540","CRO-06G010180",0.9650903557410135,13.285431916251554,3.0552589681906233e-9,9.243447756006133e-7,"co-expressed"
"CRO-02G001090","CRO-06G010770",-0.8037033195732793,-4.869993800242183,1.530153559544949e-4,0.006509736890120062,"co-expressed"
"CRO-03G003540","CRO-06G010770",-0.8031295433808189,-4.860193263649347,1.5571509181049642e-4,0.006596767375261504,"co-expressed"
"CRO-01G032400","CRO-06G012230",0.826339721026104,5.290409332870912,7.313486164019876e-5,0.003723456564073815,"co-expressed"
"CRO-03G003560","CRO-06G012230",0.9774174488355614,16.676929063443843,1.854958311784409e-10,8.991950393924746e-8,"co-expressed"
"CRO-03G003570","CRO-06G012230",0.9060951337669806,7.721988289448312,1.6432665286357394e-6,1.7914384530476208e-4,"co-expressed"
"CRO-03G003800","CRO-06G012230",0.9582748634722704,12.0872099196392,9.579100396882406e-9,2.418565591029663e-6,"co-expressed"
"CRO-03G019430","CRO-06G012230",0.9587967159545023,12.16851591006871,8.837824015855163e-9,2.2630267380863673e-6,"co-expressed"
"CRO-03G030600","CRO-06G012230",0.9606211451563857,12.465090498870664,6.6132904256191486e-9,1.7717757715233006e-6,"co-expressed"
"CRO-03G030620","CRO-06G012230",0.9764834977233783,16.33065576322743,2.408555845114226e-10,1.1145857904789986e-7,"co-expressed"
"CRO-03G032330","CRO-06G012230",0.7920620036139153,4.678292943867586,2.1591413014585814e-4,0.008422268690481972,"co-expressed"
"CRO-03G032340","CRO-06G012230",0.9886248599214098,23.700002635794082,2.2090617043914296e-12,2.4326717447257882e-9,"co-expressed"
"CRO-04G013510","CRO-06G012230",0.9888333722165856,23.924042860313268,1.959742478916786e-12,2.2056296075574586e-9,"co-expressed"
"CRO-05G008760","CRO-06G012230",0.9514634168722909,11.14676804312779,2.517735372857918e-8,5.4181173817457635e-6,"co-expressed"
"CRO-05G014340","CRO-06G012230",0.980254209746085,17.87362573900211,7.804681247297289e-11,4.4315769794814055e-8,"co-expressed"
"CRO-05G015990","CRO-06G012230",0.9414558473667938,10.068531010246591,8.310358939099882e-8,1.4730928240027118e-5,"co-expressed"
"CRO-05G017150","CRO-06G012230",0.9387614970684256,9.823188305368944,1.1060629226759554e-7,1.8684982754357225e-5,"co-expressed"
"CRO-05G023030","CRO-06G012230",0.9750714680243247,15.844128833399715,3.506604695940807e-10,1.5198470263253927e-7,"co-expressed"
"CRO-01G000560","CRO-06G013360",0.9895364684875392,24.727965441916563,1.2863095860309203e-12,1.5728360078173675e-9,"co-expressed"
"CRO-01G005870","CRO-06G013360",0.9393195628004729,9.87270143809988,1.0435870214390757e-7,1.780541688516909e-5,"co-expressed"
"CRO-01G006470","CRO-06G013360",0.8155220493124954,5.080826759932779,1.05357081777801e-4,0.004915563819799599,"co-expressed"
"CRO-01G011240","CRO-06G013360",0.9875097746206785,22.598171753580644,4.046094696352521e-12,3.951662395037303e-9,"co-expressed"
"CRO-01G014580","CRO-06G013360",0.8634198451501638,6.170843665998438,1.686448154506268e-5,0.0011911396456192552,"co-expressed"
"CRO-01G020710","CRO-06G013360",0.9891554189525336,24.282615474977693,1.6215248720064856e-12,1.895641797484713e-9,"co-expressed"
"CRO-01G023900","CRO-06G013360",0.9105890479506112,7.943558479467504,1.2080968122295127e-6,1.387091248038403e-4,"co-expressed"
"CRO-01G027000","CRO-06G013360",0.918683789961617,8.385857183880015,6.650974124941465e-7,8.428149121840684e-5,"co-expressed"
"CRO-01G027990","CRO-06G013360",0.9665755930861742,13.593156699646949,2.3114013811066035e-9,7.327065825458429e-7,"co-expressed"
"CRO-01G030290","CRO-06G013360",0.9784672278869705,17.092420080135867,1.364757464805971e-10,6.998018300957095e-8,"co-expressed"
"CRO-01G030300","CRO-06G013360",-0.9622905869925504,-12.754732871388569,5.010556124354106e-9,1.4018276463341591e-6,"co-expressed"
"CRO-01G030570","CRO-06G013360",0.9264636283059379,8.875003733957776,3.5261907073659833e-7,4.945616043239345e-5,"co-expressed"
"CRO-01G030620","CRO-06G013360",-0.802973998597059,-4.857543014218787,1.5645363395911104e-4,0.006619079021584322,"co-expressed"
"CRO-01G030870","CRO-06G013360",-0.8401001608199326,-5.5841618705173985,4.4292327841374506e-5,0.002531103729839002,"co-expressed"
"CRO-02G000180","CRO-06G013360",0.81818903710472,5.130926357191633,9.650063259978962e-5,0.004599528461768297,"co-expressed"
"CRO-02G000920","CRO-06G013360",0.9889039456419265,24.001290495180005,1.8809396469951372e-12,2.1414605285546e-9,"co-expressed"
"CRO-02G001090","CRO-06G013360",0.9897416078655843,24.977876571269455,1.1315279375095303e-12,1.4226323160666913e-9,"co-expressed"
"CRO-02G002580","CRO-06G013360",0.9854843891622068,20.930062669845285,1.0694268359992322e-11,8.693199533325887e-9,"co-expressed"
"CRO-02G005520","CRO-06G013360",0.99035979175923,25.77838309437058,7.565784386816203e-13,1.031041534810442e-9,"co-expressed"
"CRO-02G007260","CRO-06G013360",0.783829132026464,4.551115605880857,2.7201726259539193e-4,0.009990200231741905,"co-expressed"
"CRO-02G011880","CRO-06G013360",0.9858351731592445,21.193308062239733,9.129772257050612e-12,7.614067574776081e-9,"co-expressed"
"CRO-02G016670","CRO-06G013360",0.9949211746359301,35.63820651494105,1.1871040601288837e-14,3.825349294047123e-11,"co-expressed"
"CRO-02G016760","CRO-06G013360",0.9754505407552425,15.970660749862265,3.177071906356819e-10,1.3996727030404615e-7,"co-expressed"
"CRO-02G019950","CRO-06G013360",0.888584500717423,6.984404667161135,4.7806790036209946e-6,4.311870337996039e-4,"co-expressed"
"CRO-02G020830","CRO-06G013360",0.987613230882484,22.694133994578383,3.834106297618133e-12,3.781985541068049e-9,"co-expressed"
"CRO-02G022910","CRO-06G013360",0.867705355458287,6.293882634985403,1.3856796019562609e-5,0.0010176445112809352,"co-expressed"
"CRO-02G023440","CRO-06G013360",-0.9518393709205903,-11.193534139421772,2.3958301121419475e-8,5.198303072141297e-6,"co-expressed"
"CRO-02G025790","CRO-06G013360",0.985962675577059,21.291410889519952,8.611277809158e-12,7.284286051992716e-9,"co-expressed"
"CRO-02G028550","CRO-06G013360",0.8383905114765421,5.545819339171603,4.725649857428589e-5,0.0026625838708987247,"co-expressed"
"CRO-02G029040","CRO-06G013360",0.943801833220674,10.29592628737215,6.407013812148251e-8,1.1850156908950295e-5,"co-expressed"
"CRO-02G029620","CRO-06G013360",0.9888654545204153,23.95906868381738,1.923580248763657e-12,2.1744105749091734e-9,"co-expressed"
"CRO-03G000120","CRO-06G013360",0.9659013136944169,13.451005573992246,2.6275352397980282e-9,8.153679477134465e-7,"co-expressed"
"CRO-03G003540","CRO-06G013360",0.9873252683853472,22.429937572553172,4.44876367318076e-12,4.267113727889904e-9,"co-expressed"
"CRO-03G005280","CRO-06G013360",-0.9364378037609931,-9.623862074831347,1.401027795232126e-7,2.2803008563449183e-5,"co-expressed"
"CRO-03G009210","CRO-06G013360",0.9605480949011618,12.45282975901669,6.692257037525182e-9,1.7889896769257803e-6,"co-expressed"
"CRO-03G010760","CRO-06G013360",0.9837807501763546,19.77460326401976,2.191024614178246e-11,1.563999401282266e-8,"co-expressed"
"CRO-03G011320","CRO-06G013360",0.987471565961314,22.563029840748072,4.126849669548457e-12,4.010894500471191e-9,"co-expressed"
"CRO-03G011370","CRO-06G013360",0.9884867402096069,23.554941080884095,2.3885498565093628e-12,2.586637344609381e-9,"co-expressed"
"CRO-03G016950","CRO-06G013360",0.985719982396729,21.105802131666255,9.62063216052387e-12,7.957053460951762e-9,"co-expressed"
"CRO-03G018710","CRO-06G013360",0.7942802636783705,4.713704224256704,2.0253680945135107e-4,0.008026568444894838,"co-expressed"
"CRO-03G019710","CRO-06G013360",0.9883980207419418,23.463124214245212,2.5102190896730197e-12,2.6963277399460552e-09,"co-expressed"
"CRO-03G021610","CRO-06G013360",0.9953819540962734,37.386886209385814,6.4044807949490634e-15,2.3830071841255885e-11,"co-expressed"
"CRO-03G023260","CRO-06G013360",0.9415726459828684,10.079536861256159,8.205519149236516e-8,1.457668044577675e-5,"co-expressed"
"CRO-03G027430","CRO-06G013360",0.8494548030634019,5.804390720776413,3.065246215990364e-5,0.001903455192103014,"co-expressed"
"CRO-03G028000","CRO-06G013360",0.8182402908484647,5.131898860906877,9.63366167785035e-5,0.004593268297259091,"co-expressed"
"CRO-03G028930","CRO-06G013360",0.896742920236613,7.305929509819583,2.97605581938575e-6,2.9226509274798165e-4,"co-expressed"
"CRO-03G029990","CRO-06G013360",0.7974507480486992,4.7652064896326385,1.845981800266465e-4,0.007490460413752733,"co-expressed"
"CRO-03G030550","CRO-06G013360",0.7917396622355589,4.673188935153089,2.1791661237072823e-4,0.008480085473613504,"co-expressed"
"CRO-03G030850","CRO-06G013360",0.9282570359283017,8.99845202789734,3.0166046866635777e-7,4.335664456677882e-5,"co-expressed"
"CRO-03G031710","CRO-06G013360",0.9912158605553812,27.022849134617857,4.142156937066474e-13,6.45874973358528e-10,"co-expressed"
"CRO-03G032130","CRO-06G013360",0.8801826426140091,6.686280440828323,7.509452777291008e-6,6.219167369682905e-4,"co-expressed"
"CRO-04G000460","CRO-06G013360",0.947066733871227,10.636469371622834,4.376756481125119e-8,8.621842279883233e-6,"co-expressed"
"CRO-04G000920","CRO-06G013360",0.9140728567993481,8.126584773472306,9.411203967774122e-7,1.125636144985028e-4,"co-expressed"
"CRO-04G003990","CRO-06G013360",0.8020310801480158,4.841536709902959,1.6099227191476042e-4,0.006763326222285464,"co-expressed"
"CRO-04G006670","CRO-06G013360",0.8252315557630132,5.268136366861225,7.60062522001346e-5,0.003833934644400775,"co-expressed"
"CRO-04G007340","CRO-06G013360",0.9880319051118243,23.095026140874587,3.069269279274116e-12,3.1711317989927907e-9,"co-expressed"
"CRO-04G011370","CRO-06G013360",0.9859058880566872,21.247554234799924,8.839047272645807e-12,7.432234421681713e-9,"co-expressed"
"CRO-04G011630","CRO-06G013360",0.8361114592096228,5.495561053194,5.146027484324233e-5,0.0028436277317011303,"co-expressed"
"CRO-04G017730","CRO-06G013360",0.8457356484373361,5.714638646548572,3.55845040524053e-5,0.002137065502700023,"co-expressed"
"CRO-04G017800","CRO-06G013360",0.9043414911094138,7.639587589229416,1.8452401951864698e-6,1.9722985762934717e-4,"co-expressed"
"CRO-04G019170","CRO-06G013360",0.9416436489438286,10.086243076269223,8.142330176364071e-8,1.4480439730529265e-5,"co-expressed"
"CRO-04G019240","CRO-06G013360",0.932770458342622,9.329884010257132,1.9993917114813292e-7,3.069190791366238e-5,"co-expressed"
"CRO-04G026600","CRO-06G013360",0.9284053036748053,9.008857235154345,2.977394203804953e-7,4.287802229988981e-5,"co-expressed"
"CRO-04G027110","CRO-06G013360",0.9870935675329171,22.223769937696037,5.0019189665504785e-12,4.692624081548973e-9,"co-expressed"
"CRO-04G027770","CRO-06G013360",-0.8551340374954373,-5.947508130680474,2.421887876843986e-5,0.0015843021569707585,"co-expressed"
"CRO-04G027970","CRO-06G013360",0.8224596694820883,5.213253120581217,8.359635587009121e-5,0.004122315230272461,"co-expressed"
"CRO-04G029380","CRO-06G013360",0.9727441919560348,15.12534902051364,6.228851861065349e-10,2.4495576621210307e-7,"co-expressed"
"CRO-04G029840","CRO-06G013360",0.8173542534161311,5.115138834805545,9.920442462182697e-5,0.0046964781458665944,"co-expressed"
